vin	V(vout)
Step Information: Vref=0  (Run: 1/3)
0.000000000000000e+00	1.450388e-04
1.000000000000000e-02	1.496086e-05
2.000000000000000e-02	2.142711e-05
3.000000000000000e-02	2.817771e-05
4.000000000000000e-02	3.499506e-05
5.000000000000000e-02	4.183062e-05
6.000000000000000e-02	4.867219e-05
7.000000000000001e-02	5.551527e-05
8.000000000000000e-02	6.235817e-05
9.000000000000000e-02	6.920035e-05
9.999999999999999e-02	7.604180e-05
1.100000000000000e-01	8.287850e-05
1.200000000000000e-01	8.971991e-05
1.300000000000000e-01	9.656103e-05
1.400000000000000e-01	1.034022e-04
1.500000000000000e-01	1.102439e-04
1.600000000000000e-01	1.170862e-04
1.700000000000000e-01	1.239294e-04
1.800000000000000e-01	1.307736e-04
1.900000000000000e-01	1.376190e-04
2.000000000000000e-01	1.444658e-04
2.100000000000000e-01	1.513140e-04
2.200000000000001e-01	1.581638e-04
2.300000000000001e-01	1.650151e-04
2.400000000000001e-01	1.718680e-04
2.500000000000001e-01	1.787226e-04
2.600000000000001e-01	1.855788e-04
2.700000000000001e-01	1.924368e-04
2.800000000000001e-01	1.992964e-04
2.900000000000001e-01	2.061577e-04
3.000000000000001e-01	2.130206e-04
3.100000000000001e-01	2.198851e-04
3.200000000000001e-01	2.267512e-04
3.300000000000001e-01	2.336189e-04
3.400000000000001e-01	2.404881e-04
3.500000000000001e-01	2.473588e-04
3.600000000000002e-01	2.542308e-04
3.700000000000002e-01	2.611043e-04
3.800000000000002e-01	2.679791e-04
3.900000000000002e-01	2.748552e-04
4.000000000000002e-01	2.817326e-04
4.100000000000002e-01	2.886111e-04
4.200000000000002e-01	2.954908e-04
4.300000000000002e-01	3.023715e-04
4.400000000000002e-01	3.092533e-04
4.500000000000002e-01	3.161361e-04
4.600000000000002e-01	3.230199e-04
4.700000000000003e-01	3.299046e-04
4.800000000000003e-01	3.367901e-04
4.900000000000003e-01	3.436765e-04
5.000000000000002e-01	3.505637e-04
5.100000000000002e-01	3.574516e-04
5.200000000000002e-01	3.643402e-04
5.300000000000002e-01	3.712295e-04
5.400000000000003e-01	3.781194e-04
5.500000000000003e-01	3.850099e-04
5.600000000000003e-01	3.919010e-04
5.700000000000003e-01	3.987926e-04
5.800000000000003e-01	4.056848e-04
5.900000000000003e-01	4.125774e-04
6.000000000000003e-01	4.194705e-04
6.100000000000003e-01	4.263640e-04
6.200000000000003e-01	4.332579e-04
6.300000000000003e-01	4.401522e-04
6.400000000000003e-01	4.470468e-04
6.500000000000004e-01	4.539418e-04
6.600000000000004e-01	4.608371e-04
6.700000000000004e-01	4.677326e-04
6.800000000000004e-01	4.746285e-04
6.900000000000004e-01	4.815247e-04
7.000000000000004e-01	4.884210e-04
7.100000000000004e-01	4.953176e-04
7.200000000000004e-01	5.022145e-04
7.300000000000004e-01	5.091115e-04
7.400000000000004e-01	5.160087e-04
7.500000000000004e-01	5.229061e-04
7.600000000000005e-01	5.298037e-04
7.700000000000005e-01	5.367014e-04
7.800000000000005e-01	5.435993e-04
7.900000000000005e-01	5.504973e-04
8.000000000000005e-01	5.573955e-04
8.100000000000005e-01	5.642937e-04
8.200000000000005e-01	5.711921e-04
8.300000000000005e-01	5.780906e-04
8.400000000000005e-01	5.849891e-04
8.500000000000005e-01	5.918879e-04
8.600000000000005e-01	5.987866e-04
8.700000000000006e-01	6.056855e-04
8.800000000000006e-01	6.125844e-04
8.900000000000006e-01	6.194834e-04
9.000000000000006e-01	6.263824e-04
9.100000000000006e-01	6.332815e-04
9.200000000000006e-01	6.401807e-04
9.300000000000006e-01	6.470799e-04
9.400000000000006e-01	6.539792e-04
9.500000000000006e-01	6.608785e-04
9.600000000000006e-01	6.677779e-04
9.700000000000006e-01	6.746773e-04
9.800000000000006e-01	6.815768e-04
9.900000000000007e-01	6.884763e-04
1.000000000000001e+00	6.953758e-04
1.010000000000001e+00	7.022753e-04
1.020000000000001e+00	7.091749e-04
1.030000000000001e+00	7.160745e-04
1.040000000000001e+00	7.229741e-04
1.050000000000001e+00	7.298738e-04
1.060000000000001e+00	7.367734e-04
1.070000000000001e+00	7.436731e-04
1.080000000000001e+00	7.505728e-04
1.090000000000001e+00	7.574726e-04
1.100000000000001e+00	7.643724e-04
1.110000000000001e+00	7.712721e-04
1.120000000000001e+00	7.781719e-04
1.130000000000001e+00	7.850717e-04
1.140000000000001e+00	7.919715e-04
1.150000000000001e+00	7.988713e-04
1.160000000000001e+00	8.057711e-04
1.170000000000001e+00	8.126710e-04
1.180000000000001e+00	8.195708e-04
1.190000000000001e+00	8.264707e-04
1.200000000000001e+00	8.333705e-04
1.210000000000001e+00	8.402704e-04
1.220000000000001e+00	8.471703e-04
1.230000000000001e+00	8.540702e-04
1.240000000000001e+00	8.609701e-04
1.250000000000001e+00	8.678700e-04
1.260000000000001e+00	8.747699e-04
1.270000000000001e+00	8.816698e-04
1.280000000000001e+00	8.885697e-04
1.290000000000001e+00	8.954696e-04
1.300000000000001e+00	9.023696e-04
1.310000000000001e+00	9.092695e-04
1.320000000000001e+00	9.161694e-04
1.330000000000001e+00	9.230694e-04
1.340000000000001e+00	9.299693e-04
1.350000000000001e+00	9.368693e-04
1.360000000000001e+00	9.437692e-04
1.370000000000001e+00	9.506692e-04
1.380000000000001e+00	9.575692e-04
1.390000000000001e+00	9.644691e-04
1.400000000000001e+00	9.713690e-04
1.410000000000001e+00	9.782690e-04
1.420000000000001e+00	9.851690e-04
1.430000000000001e+00	9.920690e-04
1.440000000000001e+00	9.989690e-04
1.450000000000001e+00	1.005869e-03
1.460000000000001e+00	1.012769e-03
1.470000000000001e+00	1.019669e-03
1.480000000000001e+00	1.026569e-03
1.490000000000001e+00	1.033469e-03
1.500000000000001e+00	1.040369e-03
1.510000000000001e+00	1.047269e-03
1.520000000000001e+00	1.054169e-03
1.530000000000001e+00	1.061069e-03
1.540000000000001e+00	1.067969e-03
1.550000000000001e+00	1.074869e-03
1.560000000000001e+00	1.081769e-03
1.570000000000001e+00	1.088669e-03
1.580000000000001e+00	1.095569e-03
1.590000000000001e+00	1.102469e-03
1.600000000000001e+00	1.109369e-03
1.610000000000001e+00	1.116269e-03
1.620000000000001e+00	1.123169e-03
1.630000000000001e+00	1.130069e-03
1.640000000000001e+00	1.136969e-03
1.650000000000001e+00	1.143869e-03
1.660000000000001e+00	1.150769e-03
1.670000000000001e+00	1.157669e-03
1.680000000000001e+00	1.164569e-03
1.690000000000001e+00	1.171469e-03
1.700000000000001e+00	1.178369e-03
1.710000000000001e+00	1.185269e-03
1.720000000000001e+00	1.192169e-03
1.730000000000001e+00	1.199069e-03
1.740000000000001e+00	1.205969e-03
1.750000000000001e+00	1.212869e-03
1.760000000000001e+00	1.219769e-03
1.770000000000001e+00	1.226669e-03
1.780000000000001e+00	1.233569e-03
1.790000000000001e+00	1.240469e-03
1.800000000000001e+00	1.247369e-03
1.810000000000001e+00	1.254269e-03
1.820000000000001e+00	1.261169e-03
1.830000000000001e+00	1.268069e-03
1.840000000000001e+00	1.274969e-03
1.850000000000001e+00	1.281869e-03
1.860000000000001e+00	1.288770e-03
1.870000000000001e+00	1.295670e-03
1.880000000000001e+00	1.302570e-03
