vin	V(vdd)	V(vin)	V(vout)	V(vref)	V(n001)	I(R1)	I(R3)	I(Vdd)	I(Vin)	I(Vref)	Ix(U2:In+)	Ix(U2:In-)	Ix(U2:OUT)	Ix(U2:V+)	Ix(U2:V-)
Step Information: Vref=0  (Run: 1/3)
0.000000000000000e+00	5.000000e+00	0.000000e+00	1.450388e-04	0.000000e+00	6.501250e-05	1.300250e-08	8.002630e-09	-2.733152e-06	1.300250e-08	5.000000e-09	-5.000000e-09	-4.999870e-09	-8.002630e-09	2.733152e-06	-2.687671e-06
1.000000000000000e-02	5.000000e+00	1.000000e-02	1.496086e-05	0.000000e+00	6.688276e-03	-6.623449e-07	-6.673315e-07	-6.411978e-07	-6.623449e-07	5.000000e-09	-5.000000e-09	-4.986624e-09	6.673315e-07	6.411978e-07	-1.247867e-06
2.000000000000000e-02	5.000000e+00	2.000000e-02	2.142711e-05	0.000000e+00	1.335705e-02	-1.328589e-06	-1.333563e-06	-6.175806e-07	-1.328589e-06	5.000000e-09	-5.000000e-09	-4.973286e-09	1.333563e-06	6.175807e-07	-1.879913e-06
3.000000000000000e-02	5.000000e+00	3.000000e-02	2.817771e-05	0.000000e+00	2.002593e-02	-1.994815e-06	-1.999775e-06	-6.092844e-07	-1.994815e-06	5.000000e-09	-5.000000e-09	-4.959948e-09	1.999775e-06	6.092889e-07	-2.529762e-06
4.000000000000000e-02	5.000000e+00	4.000000e-02	3.499506e-05	0.000000e+00	2.669482e-02	-2.661036e-06	-2.665982e-06	-6.054655e-07	-2.661036e-06	5.000000e-09	-5.000000e-09	-4.946610e-09	2.665982e-06	6.054668e-07	-3.185417e-06
5.000000000000000e-02	5.000000e+00	5.000000e-02	4.183062e-05	0.000000e+00	3.336372e-02	-3.327256e-06	-3.332189e-06	-6.035790e-07	-3.327256e-06	5.000000e-09	-5.000000e-09	-4.933272e-09	3.332189e-06	6.035795e-07	-3.843872e-06
6.000000000000000e-02	5.000000e+00	6.000000e-02	4.867219e-05	0.000000e+00	4.003263e-02	-3.993475e-06	-3.998395e-06	-6.026913e-07	-3.993475e-06	5.000000e-09	-5.000000e-09	-4.919935e-09	3.998395e-06	6.026916e-07	-4.503966e-06
7.000000000000001e-02	5.000000e+00	7.000000e-02	5.551527e-05	0.000000e+00	4.670153e-02	-4.659695e-06	-4.664601e-06	-6.023749e-07	-4.659695e-06	5.000000e-09	-5.000000e-09	-4.906597e-09	4.664601e-06	6.023751e-07	-5.165133e-06
8.000000000000000e-02	5.000000e+00	8.000000e-02	6.235817e-05	0.000000e+00	5.337043e-02	-5.325914e-06	-5.330807e-06	-6.024055e-07	-5.325914e-06	5.000000e-09	-5.000000e-09	-4.893259e-09	5.330807e-06	6.024056e-07	-5.827063e-06
9.000000000000000e-02	5.000000e+00	9.000000e-02	6.920035e-05	0.000000e+00	6.003933e-02	-5.992134e-06	-5.997013e-06	-6.026540e-07	-5.992134e-06	5.000000e-09	-5.000000e-09	-4.879921e-09	5.997013e-06	6.026540e-07	-6.489563e-06
9.999999999999999e-02	5.000000e+00	1.000000e-01	7.604180e-05	0.000000e+00	6.670824e-02	-6.658353e-06	-6.663219e-06	-6.030408e-07	-6.658353e-06	5.000000e-09	-5.000000e-09	-4.866584e-09	6.663219e-06	6.030409e-07	-7.152511e-06
